pregunta;respuesta
cómo debo vestir;Para saber cómo vestir, la estación del año y la temperatura media de la zona marcan siempre la vestimenta más adecuada para los cruceros
cuál es la ropa más adecuada;Para saber cómo vestir, la estación del año y la temperatura media de la zona marcan siempre la vestimenta más adecuada para los cruceros
Que tipo de ropa debo llevar;Para saber cómo vestir, la estación del año y la temperatura media de la zona marcan siempre la vestimenta más adecuada para los cruceros
qué vestimenta es conveniente llevar;Para saber cómo vestir, la estación del año y la temperatura media de la zona marcan siempre la vestimenta más adecuada para los cruceros
Para saber cómo vestir, la estación del año y la temperatura media de la zona marcan siempre la vestimenta más adecuada para los cruceros;Para saber cómo vestir, la estación del año y la temperatura media de la zona marcan siempre la vestimenta más adecuada para los cruceros
debo llevar ropa formal;Los cruceros tienden a ser cada vez más informales sobre todo durante el día.
es necesario vestir ropa de etiqueta;Los cruceros tienden a ser cada vez más informales sobre todo durante el día.
Los cruceros tienden a ser cada vez más informales sobre todo durante el día.;Los cruceros tienden a ser cada vez más informales sobre todo durante el día.
¿Qué ropa debo vestir según el programa del dia?;El programa del día le indicará siempre la ropa más adecuada.
¿Qué  vestir según el programa del dia?;El programa del día le indicará siempre la ropa más adecuada.
¿Qué  vestir según el programa diario?;El programa del día le indicará siempre la ropa más adecuada.
El programa del día le indicará siempre la ropa más adecuada.;El programa del día le indicará siempre la ropa más adecuada.
¿Qué calzado debo usar?;Respecto al calzado, en tierra necesitarás zapatos cómodos para caminar, así como sombrero y protección solar (en verano).
¿Qué zapatos debo usar?;Respecto al calzado, en tierra necesitarás zapatos cómodos para caminar, así como sombrero y protección solar (en verano).
¿Qué debo llevar en tierra?;Respecto al calzado, en tierra necesitarás zapatos cómodos para caminar, así como sombrero y protección solar (en verano).
¿Qué debo vestir en tierra?;Respecto al calzado, en tierra necesitarás zapatos cómodos para caminar, así como sombrero y protección solar (en verano).
¿Qué debo vestir en las excursiones?;Respecto al calzado, en tierra necesitarás zapatos cómodos para caminar, así como sombrero y protección solar (en verano).
¿Qué debo vestir en los destinos?;Respecto al calzado, en tierra necesitarás zapatos cómodos para caminar, así como sombrero y protección solar (en verano).
Respecto al calzado, en tierra necesitarás zapatos cómodos para caminar, así como sombrero y protección solar (en verano).;Respecto al calzado, en tierra necesitarás zapatos cómodos para caminar, así como sombrero y protección solar (en verano).
¿Debo dar propina?;Las propinas son una norma generalizada, obligatorias, en todos los barcos de crucero, de hecho, forman parte del sueldo del personal y forman parte del llamado servicio.
¿Es obligatorio dar propina?;Las propinas son una norma generalizada, obligatorias, en todos los barcos de crucero, de hecho, forman parte del sueldo del personal y forman parte del llamado servicio.
¿Es necesario dar propina?;Las propinas son una norma generalizada, obligatorias, en todos los barcos de crucero, de hecho, forman parte del sueldo del personal y forman parte del llamado servicio.
Las propinas son una norma generalizada, obligatorias, en todos los barcos de crucero, de hecho, forman parte del sueldo del personal y forman parte del llamado servicio.;Las propinas son una norma generalizada, obligatorias, en todos los barcos de crucero, de hecho, forman parte del sueldo del personal y forman parte del llamado servicio.
¿Qué hacer para enbarcar?;Dependiendo de la naviera, para embarcar es conveniente llegar al embarque 3 o 4 horas antes de la hora de zarpar, normalmente los embarques suelen ser al mediodía.
¿Cómo debo enbarcar?;Dependiendo de la naviera, para embarcar es conveniente llegar al embarque 3 o 4 horas antes de la hora de zarpar, normalmente los embarques suelen ser al mediodía.
¿Cómo se enbarca?;Dependiendo de la naviera, para embarcar es conveniente llegar al embarque 3 o 4 horas antes de la hora de zarpar, normalmente los embarques suelen ser al mediodía.
¿Cuáles son las normas de embarque?;Dependiendo de la naviera, para embarcar es conveniente llegar al embarque 3 o 4 horas antes de la hora de zarpar, normalmente los embarques suelen ser al mediodía.
Dependiendo de la naviera, para embarcar es conveniente llegar al embarque 3 o 4 horas antes de la hora de zarpar, normalmente los embarques suelen ser al mediodía.;Dependiendo de la naviera, para embarcar es conveniente llegar al embarque 3 o 4 horas antes de la hora de zarpar, normalmente los embarques suelen ser al mediodía.
