Pregunta;Respuesta
¿Quién es Futura Digital School?;"Somos una entidad formativa 100 % española configurada por profesionales de la ingeniería, el derecho y la economía con una dilatada experiencia en el mundo empresarial, tecnológico y docente. 

Nuestra meta es mejorar la empleabilidad y ayudar a los profesionales a actualizarse en un entorno en constante cambio tecnológico y social. Para ello Futura Digital School cuenta con tres elementos diferenciales: los contenidos de nuestra oferta formativa, su adaptabilidad a las diferentes necesidades y la calidad de nuestro profesorado. "
Hablame de Futura Digital School;"Somos una entidad formativa 100 % española configurada por profesionales de la ingeniería, el derecho y la economía con una dilatada experiencia en el mundo empresarial, tecnológico y docente. 

Nuestra meta es mejorar la empleabilidad y ayudar a los profesionales a actualizarse en un entorno en constante cambio tecnológico y social. Para ello Futura Digital School cuenta con tres elementos diferenciales: los contenidos de nuestra oferta formativa, su adaptabilidad a las diferentes necesidades y la calidad de nuestro profesorado. "
¿Cuál es el objetivo?;Contribuir al desarrollo integral de los profesionales del futuro aportando conocimientos en herramientas tecnológicas de permanente vanguardia, ofreciendo y ejecutando planes y programas formativos especializados en la transmisión del conocimiento y uso de nuevas tecnologías de utilidad y aplicación universal.
¿Cuál es la mision?;Contribuir al desarrollo integral de los profesionales del futuro aportando conocimientos en herramientas tecnológicas de permanente vanguardia, ofreciendo y ejecutando planes y programas formativos especializados en la transmisión del conocimiento y uso de nuevas tecnologías de utilidad y aplicación universal.
objetivo;Contribuir al desarrollo integral de los profesionales del futuro aportando conocimientos en herramientas tecnológicas de permanente vanguardia, ofreciendo y ejecutando planes y programas formativos especializados en la transmisión del conocimiento y uso de nuevas tecnologías de utilidad y aplicación universal.
cual es el objetivo;
que ;Contribuir al desarrollo integral de los profesionales del futuro aportando conocimientos en herramientas tecnológicas de permanente vanguardia, ofreciendo y ejecutando planes y programas formativos especializados en la transmisión del conocimiento y uso de nuevas tecnologías de utilidad y aplicación universal.
cual es la vision;Ser una institución formativa e-learning de referencia en la transmisión de conocimientos que mejoren la calidad de vida de las personas y proporcionen una mayor eficiencia y utilidad social a las empresas e instituciones públicas
vision;Ser una institución formativa e-learning de referencia en la transmisión de conocimientos que mejoren la calidad de vida de las personas y proporcionen una mayor eficiencia y utilidad social a las empresas e instituciones públicas
vision de futura digital school;Ser una institución formativa e-learning de referencia en la transmisión de conocimientos que mejoren la calidad de vida de las personas y proporcionen una mayor eficiencia y utilidad social a las empresas e instituciones públicas
